k,u,omega
49.000000,0.600000,0.944444
50.000000,0.600000,0.937500
51.000000,0.600000,0.937500
52.000000,0.600000,0.944444
53.000000,0.600000,0.944444
54.000000,0.600000,0.937500
55.000000,0.600000,0.937500
56.000000,0.600000,0.944444
57.000000,0.600000,0.944444
58.000000,0.600000,0.937500
59.000000,0.600000,0.944444
60.000000,0.600000,0.937500
61.000000,0.600000,0.937500
62.000000,0.600000,0.944444
63.000000,0.600000,0.944444
64.000000,0.600000,0.937500
65.000000,0.600000,0.937500
66.000000,0.600000,0.944444
67.000000,0.600000,0.937500
68.000000,0.600000,0.944444
69.000000,0.600000,0.937500
70.000000,0.600000,0.944444
71.000000,0.600000,0.937500
72.000000,0.600000,0.937500
73.000000,0.600000,0.951389
74.000000,0.600000,0.937500
75.000000,0.600000,0.937500
76.000000,0.600000,0.944444
77.000000,0.600000,0.937500
78.000000,0.600000,0.944444
79.000000,0.600000,0.944444
80.000000,0.600000,0.937500
81.000000,0.600000,0.944444
82.000000,0.600000,0.937500
83.000000,0.600000,0.937500
84.000000,0.600000,0.944444
85.000000,0.600000,0.944444
86.000000,0.600000,0.937500
87.000000,0.600000,0.937500
88.000000,0.600000,0.944444
89.000000,0.600000,0.944444
90.000000,0.600000,0.937500
91.000000,0.600000,0.944444
92.000000,0.600000,0.937500
93.000000,0.600000,0.937500
94.000000,0.600000,0.944444
95.000000,0.600000,0.944444
96.000000,0.600000,0.937500
97.000000,0.600000,0.937500
98.000000,0.600000,0.944444
99.000000,0.600000,0.937500
100.000000,0.600000,0.944444
101.000000,0.800000,0.944444
102.000000,0.800000,0.965278
103.000000,0.800000,1.034722
104.000000,0.800000,1.104167
105.000000,0.800000,1.152778
106.000000,0.800000,1.187500
107.000000,0.800000,1.215278
108.000000,0.800000,1.243056
109.000000,0.800000,1.263889
110.000000,0.800000,1.277778
111.000000,0.800000,1.284722
112.000000,0.800000,1.298611
113.000000,0.800000,1.312500
114.000000,0.800000,1.305556
115.000000,0.800000,1.319444
116.000000,0.800000,1.326389
117.000000,0.800000,1.326389
118.000000,0.800000,1.326389
119.000000,0.800000,1.333333
120.000000,0.800000,1.340278
121.000000,0.800000,1.333333
122.000000,0.800000,1.333333
