r,u,omega
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
0.800000,0.380000,1.298611
0.800000,0.330000,1.263889
0.800000,0.330000,1.180556
0.800000,0.340000,1.090278
0.800000,0.350000,1.020833
0.800000,0.360000,0.965278
0.800000,0.370000,0.923611
0.800000,0.380000,0.881944
0.800000,0.400000,0.847222
0.800000,0.420000,0.812500
0.800000,0.440000,0.784722
0.800000,0.460000,0.763889
0.800000,0.480000,0.750000
0.800000,0.500000,0.736111
0.800000,0.510000,0.729167
0.800000,0.530000,0.729167
0.800000,0.530000,0.736111
0.800000,0.540000,0.743056
0.800000,0.530000,0.756944
0.800000,0.530000,0.763889
0.800000,0.530000,0.770833
0.800000,0.540000,0.770833
0.800000,0.540000,0.777778
0.800000,0.540000,0.777778
0.800000,0.540000,0.784722
0.800000,0.540000,0.791667
0.800000,0.530000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.791667
0.800000,0.530000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.530000,0.805556
0.800000,0.540000,0.791667
0.800000,0.540000,0.798611
0.800000,0.540000,0.798611
0.800000,0.530000,0.805556
0.800000,0.540000,0.798611
1.300000,0.950000,0.805556
1.300000,0.980000,0.854167
1.300000,0.930000,1.006944
1.300000,0.870000,1.131944
1.300000,0.820000,1.222222
1.300000,0.810000,1.256944
1.300000,0.800000,1.277778
1.300000,0.800000,1.277778
1.300000,0.790000,1.291667
1.300000,0.790000,1.291667
1.300000,0.790000,1.291667
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.800000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.800000,1.291667
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.800000,1.291667
1.300000,0.790000,1.298611
1.300000,0.790000,1.305556
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
1.300000,0.790000,1.298611
