r,u,omega
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.312500
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.291667
1.300000,0.770000,1.305556
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.780000,1.298611
1.300000,0.770000,1.305556
1.300000,0.780000,1.291667
1.300000,0.780000,1.298611
