r,u,omega
1.180000,0.710000,1.187500
1.180000,0.710000,1.187500
1.180000,0.710000,1.187500
1.180000,0.710000,1.187500
1.180000,0.710000,1.187500
1.170000,0.710000,1.187500
1.170000,0.710000,1.180556
1.170000,0.710000,1.180556
1.170000,0.710000,1.180556
1.170000,0.710000,1.180556
1.170000,0.710000,1.173611
1.170000,0.700000,1.180556
1.170000,0.700000,1.173611
1.160000,0.700000,1.173611
1.160000,0.700000,1.166667
1.160000,0.700000,1.173611
1.160000,0.700000,1.173611
1.160000,0.700000,1.166667
1.160000,0.700000,1.166667
1.160000,0.700000,1.159722
1.160000,0.700000,1.166667
1.150000,0.700000,1.166667
1.150000,0.700000,1.152778
1.150000,0.700000,1.159722
1.150000,0.700000,1.159722
1.150000,0.700000,1.159722
1.150000,0.690000,1.152778
1.150000,0.690000,1.152778
1.150000,0.690000,1.145833
1.140000,0.690000,1.159722
1.140000,0.690000,1.145833
1.140000,0.690000,1.145833
1.140000,0.690000,1.145833
1.140000,0.690000,1.152778
1.140000,0.690000,1.145833
1.140000,0.690000,1.138889
1.140000,0.690000,1.145833
1.130000,0.690000,1.138889
1.130000,0.690000,1.145833
1.130000,0.690000,1.138889
1.130000,0.690000,1.131944
1.130000,0.690000,1.131944
1.130000,0.680000,1.145833
1.130000,0.680000,1.131944
1.130000,0.680000,1.131944
1.120000,0.680000,1.125000
1.120000,0.680000,1.131944
1.120000,0.680000,1.131944
1.120000,0.680000,1.125000
1.120000,0.680000,1.125000
1.120000,0.680000,1.118056
1.120000,0.680000,1.131944
1.120000,0.680000,1.118056
1.120000,0.680000,1.118056
1.110000,0.680000,1.118056
1.110000,0.680000,1.118056
1.110000,0.670000,1.118056
1.110000,0.670000,1.118056
1.110000,0.670000,1.104167
1.110000,0.670000,1.118056
1.110000,0.670000,1.111111
1.110000,0.670000,1.111111
1.100000,0.670000,1.104167
1.100000,0.670000,1.104167
1.100000,0.670000,1.104167
1.100000,0.670000,1.111111
1.100000,0.670000,1.097222
1.100000,0.670000,1.097222
1.100000,0.670000,1.104167
1.100000,0.670000,1.104167
1.090000,0.670000,1.090278
1.090000,0.670000,1.097222
1.090000,0.660000,1.090278
1.090000,0.660000,1.097222
1.090000,0.660000,1.097222
1.090000,0.660000,1.090278
1.090000,0.660000,1.083333
1.090000,0.660000,1.090278
1.080000,0.660000,1.090278
1.080000,0.660000,1.083333
1.080000,0.660000,1.083333
1.080000,0.660000,1.083333
1.080000,0.660000,1.083333
1.080000,0.660000,1.083333
1.080000,0.660000,1.083333
1.070000,0.660000,1.076389
1.070000,0.660000,1.069444
1.070000,0.660000,1.083333
1.070000,0.650000,1.076389
1.070000,0.650000,1.069444
1.070000,0.650000,1.069444
1.070000,0.650000,1.069444
1.070000,0.650000,1.076389
1.060000,0.650000,1.069444
1.060000,0.650000,1.062500
1.060000,0.650000,1.062500
1.060000,0.650000,1.069444
1.060000,0.650000,1.062500
1.060000,0.650000,1.062500
1.060000,0.650000,1.055556
1.060000,0.650000,1.055556
1.050000,0.650000,1.062500
1.050000,0.650000,1.062500
1.050000,0.640000,1.048611
1.050000,0.640000,1.055556
1.050000,0.640000,1.048611
1.050000,0.640000,1.055556
1.050000,0.640000,1.048611
1.050000,0.640000,1.048611
1.040000,0.640000,1.041667
