r,u,omega
1.300000,0.782000,1.291667
1.300000,0.782500,1.298611
1.300000,0.784500,1.305556
1.300000,0.783800,1.291667
1.300000,0.781700,1.298611
1.300000,0.784200,1.298611
1.300000,0.783700,1.298611
1.300000,0.783500,1.298611
1.300000,0.783400,1.291667
1.300000,0.783400,1.298611
1.300000,0.785300,1.305556
1.300000,0.784500,1.298611
1.300000,0.782400,1.291667
1.300000,0.783100,1.298611
1.300000,0.785300,1.305556
1.300000,0.784600,1.298611
1.300000,0.782600,1.291667
1.300000,0.783300,1.305556
1.300000,0.785500,1.298611
1.300000,0.783000,1.298611
1.300000,0.783700,1.298611
1.300000,0.783900,1.298611
1.300000,0.784100,1.298611
1.300000,0.784200,1.298611
1.300000,0.784300,1.298611
1.300000,0.784400,1.305556
1.300000,0.784500,1.298611
1.300000,0.782700,1.291667
1.300000,0.783600,1.298611
1.300000,0.785800,1.305556
1.300000,0.785200,1.298611
1.300000,0.783200,1.298611
1.300000,0.784000,1.298611
1.300000,0.784400,1.305556
1.300000,0.784600,1.298611
1.300000,0.782900,1.291667
1.300000,0.783800,1.305556
1.300000,0.786100,1.298611
1.300000,0.783600,1.298611
1.300000,0.784300,1.298611
1.300000,0.784600,1.305556
1.300000,0.784800,1.298611
1.300000,0.783100,1.298611
1.300000,0.784000,1.298611
1.300000,0.784400,1.305556
1.300000,0.784700,1.298611
1.300000,0.782900,1.298611
1.300000,0.783900,1.298611
1.300000,0.784300,1.305556
1.300000,0.784500,1.298611
1.300000,0.782800,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
1.300000,0.784400,1.298611
1.300000,0.782700,1.291667
1.300000,0.783600,1.298611
1.300000,0.785900,1.305556
1.300000,0.785400,1.298611
1.300000,0.783400,1.298611
1.300000,0.784200,1.298611
1.300000,0.784500,1.305556
1.300000,0.784700,1.298611
1.300000,0.783000,1.298611
1.300000,0.784000,1.298611
1.300000,0.784400,1.305556
1.300000,0.784600,1.298611
1.300000,0.782900,1.298611
1.300000,0.783800,1.305556
1.300000,0.784200,1.298611
1.300000,0.782600,1.298611
1.300000,0.783600,1.298611
1.300000,0.784000,1.298611
1.300000,0.784200,1.298611
1.300000,0.784400,1.298611
1.300000,0.784600,1.298611
1.300000,0.784700,1.305556
1.300000,0.784800,1.298611
1.300000,0.783000,1.291667
1.300000,0.783900,1.298611
1.300000,0.786200,1.305556
1.300000,0.785600,1.298611
1.300000,0.783700,1.298611
1.300000,0.784500,1.298611
1.300000,0.784800,1.305556
1.300000,0.785100,1.298611
1.300000,0.783400,1.298611
1.300000,0.784300,1.298611
1.300000,0.784700,1.305556
1.300000,0.785000,1.298611
1.300000,0.783300,1.298611
1.300000,0.784200,1.305556
1.300000,0.784600,1.298611
1.300000,0.783000,1.298611
1.300000,0.784000,1.298611
1.300000,0.784400,1.305556
1.300000,0.784700,1.298611
1.300000,0.783000,1.298611
1.300000,0.783900,1.298611
1.300000,0.784300,1.305556
1.300000,0.784600,1.298611
1.300000,0.782900,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
1.300000,0.784500,1.298611
1.300000,0.782700,1.298611
1.300000,0.783700,1.298611
1.300000,0.784100,1.305556
1.300000,0.784300,1.298611
1.300000,0.782600,1.291667
1.300000,0.783500,1.305556
1.300000,0.785800,1.298611
1.300000,0.783300,1.298611
1.300000,0.784100,1.298611
1.300000,0.784300,1.305556
1.300000,0.784500,1.298611
1.300000,0.782800,1.298611
1.300000,0.783700,1.298611
1.300000,0.784100,1.305556
1.300000,0.784300,1.298611
1.300000,0.782600,1.298611
1.300000,0.783600,1.298611
1.300000,0.783900,1.298611
1.300000,0.784200,1.298611
1.300000,0.784400,1.298611
1.300000,0.784500,1.298611
1.300000,0.784600,1.305556
1.300000,0.784700,1.298611
1.300000,0.782900,1.298611
1.300000,0.783900,1.298611
1.300000,0.784200,1.305556
1.300000,0.784500,1.298611
1.300000,0.782800,1.298611
1.300000,0.783700,1.298611
1.300000,0.784100,1.298611
1.300000,0.784400,1.298611
1.300000,0.784500,1.291667
1.300000,0.784700,1.305556
1.300000,0.786700,1.298611
1.300000,0.784100,1.305556
1.300000,0.784800,1.298611
1.300000,0.783200,1.298611
1.300000,0.784200,1.305556
1.300000,0.784600,1.298611
1.300000,0.783000,1.298611
1.300000,0.784000,1.305556
1.300000,0.784400,1.298611
1.300000,0.782800,1.298611
1.300000,0.783800,1.298611
1.300000,0.784200,1.305556
