r,u,omega
1.157500,0.704900,1.159722
1.156200,0.704100,1.152778
1.155000,0.702900,1.152778
1.153700,0.703500,1.159722
1.152500,0.703200,1.152778
1.151300,0.700600,1.145833
1.150000,0.700500,1.152778
1.148700,0.701500,1.145833
1.147500,0.699600,1.152778
1.146300,0.699900,1.145833
1.145000,0.697500,1.145833
1.143700,0.697500,1.138889
1.142500,0.696700,1.145833
1.141300,0.697600,1.145833
1.140000,0.695500,1.131944
1.138700,0.693900,1.138889
1.137500,0.696000,1.138889
1.136300,0.694600,1.138889
1.135000,0.693400,1.131944
1.133700,0.692100,1.131944
1.132500,0.692600,1.131944
1.131200,0.692200,1.138889
1.130000,0.691400,1.125000
1.128700,0.688500,1.125000
1.127500,0.690100,1.125000
1.126300,0.690100,1.131944
1.125000,0.689700,1.125000
1.123700,0.687000,1.125000
1.122500,0.686900,1.118056
1.121200,0.686000,1.125000
1.120000,0.686800,1.118056
1.118700,0.684700,1.118056
1.117500,0.684900,1.118056
1.116300,0.684300,1.118056
1.115000,0.683400,1.118056
1.113700,0.682300,1.111111
1.112500,0.681100,1.111111
1.111200,0.681600,1.111111
1.110000,0.681200,1.111111
1.108700,0.680400,1.111111
1.107500,0.679400,1.111111
1.106200,0.678200,1.104167
1.105000,0.676900,1.104167
1.103700,0.677300,1.104167
1.102500,0.676800,1.104167
1.101200,0.676000,1.097222
1.100000,0.674900,1.097222
1.098700,0.675600,1.104167
1.097500,0.675300,1.097222
1.096200,0.672700,1.097222
1.095000,0.672600,1.090278
1.093800,0.671800,1.097222
1.092500,0.672600,1.090278
1.091200,0.670500,1.097222
1.090000,0.670800,1.083333
1.088800,0.668300,1.090278
1.087500,0.670100,1.083333
1.086200,0.668500,1.090278
1.085000,0.669000,1.083333
1.083800,0.666700,1.083333
1.082500,0.666800,1.083333
1.081200,0.666200,1.083333
1.080000,0.665300,1.083333
1.078800,0.664100,1.076389
1.077500,0.662800,1.069444
1.076200,0.663300,1.076389
1.075000,0.664800,1.083333
1.073800,0.663100,1.069444
1.072500,0.659900,1.069444
1.071200,0.661300,1.069444
1.070000,0.661200,1.076389
1.068700,0.660700,1.069444
1.067500,0.658000,1.069444
1.066200,0.657700,1.062500
1.065000,0.656800,1.062500
