r,omega,u
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.3125,0,0
0.375,0,0
0.4375,0,0
0.5,0,0
0.5625,0,0.00390625
0.625,0,0.00390625
0.6875,0,0.0078125
0.75,0,0.0117188
0.8125,0,0.0117188
0.875,0,0.015625
0.9375,0,0.0195313
1,0,0.0234375
1.0625,0,0.0273438
1.125,0,0.03125
1.1875,0,0.0351563
1.25,0,0.0390625
1.3125,0,0.0429688
1.375,0,0.046875
1.4375,0,0.0546875
1.5,0,0.0585938
1.5625,0,0.0664063
1.625,0,0.0703125
1.6875,0,0.078125
1.75,0,0.0820313
1.8125,0,0.0898438
1.875,0,0.0976563
1.9375,0,0.105469
2,0,0.113281
2.0625,0,0.121094
2.125,0,0.128906
2.1875,0,0.136719
2.25,0,0.144531
2.3125,0.0117188,0.144531
2.375,0.0234375,0.152344
2.4375,0.046875,0.15625
2.5,0.0859375,0.152344
2.5625,0.109375,0.167969
2.625,0.160156,0.160156
2.6875,0.210938,0.164063
2.75,0.25,0.175781
2.8125,0.285156,0.183594
2.875,0.3125,0.195313
2.9375,0.359375,0.1875
3,0.410156,0.195313
3.0625,0.460938,0.199219
3.125,0.535156,0.191406
3.1875,0.636719,0.175781
3.25,0.773438,0.152344
3.3125,0.960938,0.117188
3.375,1.17188,0.09375
3.4375,1.35938,0.09375
3.5,1.51172,0.109375
3.5625,1.625,0.125
3.625,1.72266,0.128906
3.6875,1.8125,0.136719
3.75,1.91016,0.128906
3.8125,2,0.132813
3.875,2.07422,0.140625
3.9375,2.14844,0.140625
4,2.22266,0.144531
4.0625,2.3125,0.136719
4.125,2.42188,0.121094
4.1875,2.53516,0.117188
4.25,2.63672,0.121094
4.3125,2.72266,0.128906
4.375,2.78516,0.144531
4.4375,2.84766,0.144531
4.5,2.89844,0.15625
4.5625,2.9375,0.167969
4.625,2.97266,0.171875
4.6875,3.01172,0.175781
4.75,3.04688,0.183594
4.8125,3.09766,0.179688
4.875,3.16016,0.175781
4.9375,3.23438,0.171875
5,3.32422,0.164063
5.0625,3.42188,0.15625
5.125,3.57422,0.125
5.1875,3.77344,0.0859375
5.25,3.97266,0.0742188
5.3125,4.16016,0.0703125
